id,entity_class,variant,prompt,input_text,expected_output,difficulty,domain,source,notes
AUG5-CREDIT-CARD-001-50,CREDIT_CARD,amex_15,,my amex is three seven eight two eight two two four six three one oh oh oh five,My Amex is 3782 822463 10005.,basic,finance,synthetic_augmented_v5,15-digit amex 4-6-5 grouping
AUG5-CREDIT-CARD-002-50,CREDIT_CARD,space_delimiters,,card number is four nine two seven space one one two two space three three four four space five five six six,Card number is 4927 1122 3344 5566.,basic,voice_agent,synthetic_augmented_v5,spoken space tokens
AUG5-CREDIT-CARD-003-50,CREDIT_CARD,redacted_visa,Redact all but the last four digits as XXXX XXXX XXXX ####,please charge four five two eight nine nine one one two two three three eight eight four two,Please charge XXXX XXXX XXXX 8842.,basic,contact_center,synthetic_augmented_v5,PCI redact visa
AUG5-CREDIT-CARD-004-50,CREDIT_CARD,embedded_money,,run my card four three two one nine eight seven six one two three four five six seven eight for two hundred and fifty dollars,Run my card 4321 9876 1234 5678 for $250.,edge,contact_center,synthetic_augmented_v5,card plus money entity
AUG5-CREDIT-CARD-005-50,CREDIT_CARD,double_chunked,,the new card is four three double seven double two double one five five six six seven eight nine zero,The new card is 4377 2211 5566 7890.,adversarial,voice_agent,synthetic_augmented_v5,double chunks
AUG5-CREDIT-CARD-006-50,CREDIT_CARD,triple_chunked,,i wrote down five triple four nine eight seven six one two three four triple zero five,I wrote down 5444 9876 1234 0005.,adversarial,finance,synthetic_augmented_v5,triple chunks
AUG5-CREDIT-CARD-007-50,CREDIT_CARD,redacted_amex,Redact all but the last four digits as XXXX XXXX XXXX ####,my corporate amex three four oh two seven seven four nine eight eight six six one two two seven,My corporate Amex XXXX XXXX XXXX 2227.,edge,finance,synthetic_augmented_v5,amex redacted to last 4
AUG5-CREDIT-CARD-008-50,CREDIT_CARD,oh_for_zero,,please use five four one eight oh oh oh oh seven eight nine six four three two one,Please use 5418 0000 7896 4321.,basic,voice_agent,synthetic_augmented_v5,block of oh tokens
AUG5-CREDIT-CARD-009-50,CREDIT_CARD,embedded_phone_distractor,,call me at five five five one two one two and charge four nine zero zero one two three four five six seven eight nine zero one two,Call me at 555-1212 and charge 4900 1234 5678 9012.,adversarial,contact_center,synthetic_augmented_v5,phone before card
AUG5-CREDIT-CARD-010-50,CREDIT_CARD,redact_mc,Redact all but the last four digits as XXXX XXXX XXXX ####,the mastercard is five three nine eight two two one one four four six six oh oh nine nine,The Mastercard is XXXX XXXX XXXX 0099.,basic,contact_center,synthetic_augmented_v5,mc redact with oh
AUG5-CREDIT-CARD-011-50,CREDIT_CARD,dashes_override,Format card numbers with dashes.,bill four two four two four two four two four two four two four two four two,Bill 4242-4242-4242-4242.,basic,finance,synthetic_augmented_v5,stripe test card with dashes
AUG5-CREDIT-CARD-012-50,CREDIT_CARD,natural_sentence,,so go ahead and put it on the visa ending in four three two one full number being four nine eight seven six five four three two one zero nine eight four three two one,So go ahead and put it on the Visa ending in 4321 full number being 4987 6543 2109 8432 1.,adversarial,voice_agent,synthetic_augmented_v5,extra digit trailing - verify count carefully
AUG5-CREDIT-CARD-013-50,CREDIT_CARD,amex_oh,,amex three seven one four four nine six three five three nine eight four three one oh,Amex 3714 496353 98431 0.,adversarial,finance,synthetic_augmented_v5,15 digit amex with trailing oh
AUG5-CREDIT-CARD-014-50,CREDIT_CARD,redact_double,Redact all but the last four digits as XXXX XXXX XXXX ####,charge my card four double one six double two seven seven double three eight eight nine nine four five,Charge my card XXXX XXXX XXXX 9945.,edge,contact_center,synthetic_augmented_v5,double chunks then redact
AUG5-CREDIT-CARD-015-50,CREDIT_CARD,chunked_4groups,,discover card is six oh one one space two seven three nine space eight eight four four space one two three four,Discover card is 6011 2739 8844 1234.,basic,contact_center,synthetic_augmented_v5,discover with spoken space
AUG5-CREDIT-CARD-016-50,CREDIT_CARD,oh_and_double,,card reads four nine double oh seven seven double two one one five five double eight,Card reads 4900 7722 1155 88.,adversarial,voice_agent,synthetic_augmented_v5,only 14 digits - keep as spoken
AUG5-CREDIT-CARD-017-50,CREDIT_CARD,redacted_visa_long,Redact all but the last four digits as XXXX XXXX XXXX ####,the visa on file four five three two one one nine eight seven six five four three two two oh,The Visa on file XXXX XXXX XXXX 3220.,basic,finance,synthetic_augmented_v5,trailing oh as zero
AUG5-CREDIT-CARD-018-50,CREDIT_CARD,meeting_dictation,,for the record the corporate card number is five four oh oh nine nine eight seven six six five five four four three three,For the record the corporate card number is 5400 9987 6655 4433.,basic,meeting,synthetic_augmented_v5,meeting dictation
AUG5-CREDIT-CARD-019-50,CREDIT_CARD,medical_copay,,copay will be on the card four eight two seven one one two two three three four four five five six six,Copay will be on the card 4827 1122 3344 5566.,basic,medical,synthetic_augmented_v5,medical copay card
AUG5-CREDIT-CARD-020-50,CREDIT_CARD,redact_with_money,Redact all but the last four digits as XXXX XXXX XXXX ####,charge ninety nine dollars to four nine one two seven seven seven seven six six six six one one two three,Charge $99 to XXXX XXXX XXXX 1123.,edge,contact_center,synthetic_augmented_v5,money plus redacted card
AUG5-CREDIT-CARD-021-50,CREDIT_CARD,amex_natural,,the corporate amex starts with three seven and the full number is three seven eight two eight one nine four six three one one oh oh five five,The corporate Amex starts with 37 and the full number is 3782 819463 11005 5.,adversarial,finance,synthetic_augmented_v5,natural sentence plus amex digits 16 spoken
AUG5-CREDIT-CARD-022-50,CREDIT_CARD,oh_split,,the new visa is four five two eight oh six seven two oh oh nine eight seven six four three two,The new visa is 4528 0672 0098 7643 2.,adversarial,voice_agent,synthetic_augmented_v5,17 digits preserved as spoken
AUG5-CREDIT-CARD-023-50,CREDIT_CARD,redact_short_phrasing,Redact all but the last four digits as XXXX XXXX XXXX ####,on file we have four three two one nine eight seven six five four three two one one zero zero,On file we have XXXX XXXX XXXX 1100.,basic,contact_center,synthetic_augmented_v5,redacted clean 16
AUG5-CREDIT-CARD-024-50,CREDIT_CARD,all_same_digit,,test card three three three three three three three three three three three three three three three three,Test card 3333 3333 3333 3333.,edge,finance,synthetic_augmented_v5,identical digits
AUG5-CREDIT-CARD-025-50,CREDIT_CARD,oh_at_end,,i will read it slowly four nine one one eight eight seven six five four three two one oh oh oh,I will read it slowly 4911 8876 5432 1000.,basic,voice_agent,synthetic_augmented_v5,trailing zeros via oh
AUG5-CREDIT-CARD-026-50,CREDIT_CARD,hesitation_card,,uh the card is four six two seven um nine nine eight eight three three two two seven seven six six,"Uh, the card is 4627 9988 3322 7766.",edge,voice_agent,synthetic_augmented_v5,hesitation tokens preserved
AUG5-CREDIT-CARD-027-50,CREDIT_CARD,double_oh_pairs,,new card four eight double oh double one double two double three double four double five double six,New card 4800 1122 3344 5566.,adversarial,contact_center,synthetic_augmented_v5,all double pairs
AUG5-CREDIT-CARD-028-50,CREDIT_CARD,redact_amex_natural,Redact all but the last four digits as XXXX XXXX XXXX ####,please charge my amex three seven nine two four four six six one one two two oh oh four four,Please charge my Amex XXXX XXXX XXXX 4044.,edge,finance,synthetic_augmented_v5,amex 15 digit redact
AUG5-CREDIT-CARD-029-50,CREDIT_CARD,two_cards,,the old card was four one one one one one one one one one one one one one one one and the new one is five five five five four four four four three three three three two two two two,The old card was 4111 1111 1111 1111 and the new one is 5555 4444 3333 2222.,adversarial,contact_center,synthetic_augmented_v5,two full cards in one row
AUG5-CREDIT-CARD-030-50,CREDIT_CARD,oh_double_mix,,go with four nine oh oh double seven six six double one two three four five six seven eight,Go with 4900 7766 1123 4567 8.,adversarial,voice_agent,synthetic_augmented_v5,17 digits oh plus double mix
AUG5-CREDIT-CARD-031-51,CREDIT_CARD,amex_15,,the amex on file is three seven eight two eight two two four six three one zero zero zero five,The Amex on file is 3782 822463 10005.,basic,finance,synthetic_augmented_v5,amex 4-6-5 grouping
